Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-08-03 12:06:43,38.3,1.794,0.998,1.011
2024-08-03 12:06:47,38.3,1.794,1.009,1.019
2024-08-03 12:06:52,38.1,1.794,1.032,0.997
2024-08-03 12:06:56,38.1,1.792,1.032,1.022
2024-08-03 12:07:00,38.4,1.794,1.002,1.010
2024-08-03 12:07:05,38.4,1.794,1.014,1.025
2024-08-03 12:07:09,37.8,1.795,0.994,1.008
2024-08-03 12:07:14,37.5,1.792,1.028,1.043
2024-08-03 12:07:18,38.0,1.794,0.995,1.009
2024-08-03 12:07:22,38.8,1.794,0.997,1.010
2024-08-03 12:07:27,37.4,1.794,1.028,1.055
2024-08-03 12:07:31,38.4,1.794,1.004,1.018
2024-08-03 12:07:36,37.9,1.793,1.041,1.044
2024-08-03 12:07:40,37.5,1.794,1.000,1.009
2024-08-03 12:07:45,38.4,1.794,1.047,1.045
2024-08-03 12:07:49,37.7,1.794,1.014,1.002
2024-08-03 12:07:53,38.4,1.792,1.005,1.018
2024-08-03 12:07:58,37.9,1.794,1.028,0.998
2024-08-03 12:08:02,38.5,1.794,1.022,1.000
2024-08-03 12:08:07,37.8,1.792,1.050,1.038
2024-08-03 12:08:11,38.1,1.792,1.039,1.016
2024-08-03 12:08:16,38.1,1.794,1.044,1.036
2024-08-03 12:08:20,38.3,1.793,1.018,1.030
2024-08-03 12:08:24,38.4,1.793,1.017,0.995
2024-08-03 12:08:29,37.4,1.792,1.036,1.047
2024-08-03 12:08:33,38.6,1.794,1.045,1.038
2024-08-03 12:08:38,38.4,1.792,1.041,1.039
2024-08-03 12:08:42,38.0,1.794,1.032,1.043
2024-08-03 12:08:46,37.8,1.795,1.018,1.034
2024-08-03 12:08:51,38.0,1.795,1.028,1.048
2024-08-03 12:08:55,38.0,1.792,1.035,1.028
2024-08-03 12:09:00,38.4,1.794,1.036,0.995
2024-08-03 12:09:04,38.4,1.794,1.020,0.997
2024-08-03 12:09:09,38.4,1.794,1.020,1.034
2024-08-03 12:09:13,38.5,1.795,1.031,1.046
2024-08-03 12:09:17,38.4,1.794,1.033,1.055
