# E# E (MeV/u), F# 1-6 (mm FWHM) I# 1-15 (Ions/s) for a total of  255 12C Energies ----- LIBC Version 1.3 C12 V8
 43 166.15 6.0  7.4  9.3 10.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 44 167.66 5.9  7.3  9.2 10.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 45 169.17 5.9  7.3  9.2 10.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 46 170.66 5.8  7.3  9.2 10.9 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 47 172.15 5.8  7.2  9.1 10.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 48 173.63 5.7  7.2  9.1 10.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 49 175.10 5.7  7.2  9.1 10.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 50 176.56 5.7  7.1  9.1 10.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 51 178.01 5.6  7.1  9.0 10.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
 52 179.46 5.6  7.1  9.0 10.7 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
