# E# E (MeV/u), F# 1-6 (mm FWHM) I# 1-15 (Ions/s) for a total of  255 12C Energies ----- LIBC Version 1.3 C12 V8
204 359.58 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
205 361.02 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
206 362.47 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
207 363.91 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
208 365.34 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
209 366.78 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
210 368.21 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
211 369.64 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
212 371.06 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
213 372.49 3.6  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
214 373.91 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
215 375.32 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
216 376.74 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
217 378.15 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
218 379.56 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
219 380.97 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
220 382.37 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
221 383.78 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
222 385.18 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
223 386.57 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
224 387.97 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
225 389.36 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
226 390.75 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
227 392.14 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
228 393.52 3.5  5.6  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
229 394.90 3.5  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
230 396.29 3.5  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
231 397.66 3.5  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
232 399.04 3.5  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
233 400.41 3.5  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
234 401.78 3.4  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
235 403.15 3.4  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
236 404.52 3.4  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
237 405.89 3.4  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
238 407.25 3.4  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
239 408.61 3.4  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
240 409.97 3.4  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
241 411.32 3.4  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
242 412.68 3.4  5.5  7.9  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
243 414.03 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
244 415.38 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
245 416.73 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
246 418.07 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
247 419.42 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
248 420.76 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
249 422.10 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
250 423.44 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
251 424.77 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
252 426.11 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
253 427.44 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
254 428.77 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
255 430.10 3.4  5.5  7.8  9.8 15.0 20.0 2.0e+06 3.0e+06 5.0e+06 8.0e+06 1.0e+07 1.5e+07 2.0e+07 3.0e+07 5.0e+07 8.0e+07 1.0e+08 1.5e+08 2.0e+08 3.3e+08 5.0e+08
