Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_14:16:37,929.9767715930939,30.0,130.0,9.0,0.0,215.0
2024-07-07_14:16:46,939.4534482955933,30.0,130.0,41.0,0.0,249.0
2024-07-07_14:16:56,948.9187731742859,30.0,130.0,73.0,0.0,26.0
2024-07-07_14:17:05,958.3425259590149,30.0,130.0,105.0,0.0,55.0
2024-07-07_14:17:15,967.7680511474609,30.0,130.0,137.0,0.0,87.0
2024-07-07_14:17:24,977.3234386444092,30.0,130.0,168.0,0.0,119.0
2024-07-07_14:17:34,986.8550109863281,30.0,130.0,200.0,0.0,152.0
2024-07-07_14:17:43,996.3858439922333,30.0,130.0,232.0,0.0,185.0
2024-07-07_14:17:53,1006.0091586112976,30.0,130.0,8.0,0.0,214.0
2024-07-07_14:18:02,1015.4978449344635,30.0,130.0,40.0,0.0,246.0
2024-07-07_14:18:12,1024.8754069805145,30.0,130.0,72.0,0.0,22.0
2024-07-07_14:18:21,1034.2352106571198,30.0,130.0,104.0,0.0,54.0
2024-07-07_14:18:31,1043.7536082267761,30.0,130.0,136.0,0.0,86.0
2024-07-07_14:18:40,1053.1718473434448,30.0,130.0,168.0,0.0,118.0
2024-07-07_14:18:50,1062.5900568962097,30.0,130.0,200.0,0.0,150.0
2024-07-07_14:18:59,1072.1401040554047,30.0,130.0,232.0,0.0,180.0
2024-07-07_14:19:08,1081.4661765098572,30.0,130.0,8.0,0.0,212.0
2024-07-07_14:19:18,1090.7363104820251,30.0,130.0,39.0,0.0,245.0
2024-07-07_14:19:27,1100.1929605007172,30.0,130.0,58.0,0.0,21.0
2024-07-07_14:19:37,1109.6432211399078,30.0,130.0,90.0,0.0,85.0
2024-07-07_14:19:46,1119.1009023189545,30.0,130.0,121.0,0.0,117.0
2024-07-07_14:19:55,1128.4596621990204,30.0,130.0,153.0,0.0,149.0
2024-07-07_14:20:05,1137.8729100227356,30.0,130.0,185.0,0.0,181.0
2024-07-07_14:20:14,1147.3826179504395,30.0,130.0,201.0,0.0,214.0
2024-07-07_14:20:24,1156.900554895401,30.0,130.0,233.0,0.0,247.0
2024-07-07_14:20:33,1166.2789981365204,30.0,130.0,9.0,0.0,25.0
2024-07-07_14:20:43,1175.8030614852905,30.0,130.0,41.0,0.0,58.0
2024-07-07_14:20:52,1185.2882843017578,30.0,130.0,73.0,0.0,75.0
2024-07-07_14:21:02,1194.8039734363556,30.0,130.0,105.0,0.0,108.0
2024-07-07_14:21:11,1204.2314603328705,30.0,130.0,136.0,0.0,139.0
2024-07-07_14:21:21,1213.6530838012695,30.0,130.0,168.0,0.0,171.0
2024-07-07_14:21:30,1223.1957845687866,30.0,130.0,200.0,0.0,203.0
2024-07-07_14:21:40,1232.587879896164,30.0,130.0,232.0,0.0,236.0
2024-07-07_14:21:49,1242.0568764209747,30.0,130.0,8.0,0.0,13.0
2024-07-07_14:21:58,1251.488715171814,30.0,130.0,40.0,0.0,45.0
2024-07-07_14:22:08,1260.9763345718384,30.0,130.0,72.0,0.0,77.0
2024-07-07_14:22:17,1270.4246499538422,30.0,130.0,104.0,0.0,109.0
2024-07-07_14:22:27,1279.8910920619965,30.0,130.0,136.0,0.0,138.0
